4,1611,BOQUIM,,,BARRO PRETO,,,350
4,1612,BOQUIM,,,TANQUE NOVO,,,400
4,1614,BOQUIM,,,TOBIAS BARRETO,,,1000
4,1628,PEDRINHAS,,,RIACHAO,,,200
4,1629,PEDRINHAS,,,BARRO PRETO,,,200
4,1630,PEDRINHAS,,,TANQUE NOVO,,,350
4,1632,RIACHAO,,,BARRO PRETO,,,150
4,1633,RIACHAO,,,TANQUE NOVO,,,150
4,1635,RIACHAO,,,TOBIAS BARRETO,,,350
4,1636,BARRO PRETO,,,TANQUE NOVO,,,150
4,1638,BARRO PRETO,,,TOBIAS BARRETO,,,350
4,1640,TANQUE NOVO,,,TOBIAS BARRETO,,,200
4,1665,POSTO FISCAL,,,COLONIA 13,,,850
4,1678,CAJUEIRO,,,COLONIA 13,,,650
4,1701,ANINGAS,,,COLONIA 13,,,600
4,1711,ITAPORANGA,,,COLONIA 13,,,550
4,1720,ENTR. SALGADO,,,COLONIA 13,,,450
4,1728,CARLOS TORRES,,,COLONIA 13,,,450
4,1735,SALGADO,,,COLONIA 13,,,300
4,1741,AGUA FRIA,,,COLONIA 13,,,300
4,2289,AGUA FRIA,,,F. CONCEICAO,,,200
4,2295,COLONIA 13,,,F. CONCEICAO,,,200
4,2296,COLONIA 13,,,BOQUIM,,,400
4,2297,COLONIA 13,,,PEDRINHAS,,,300
4,4206,PEDRINHAS,,,T. BARRETO,,,550
4,5029,COLONIA 13,,,TANQUE NOVO,,,600
4,5046,COLONIA 13,,,RIACHAO,,,500
4,5047,COLONIA 13,,,BARRO PRETO,,,550
4,5144,RIACHAO,,,POV. SAQUINHO,,,550
4,5145,TANQUE NOVO,,,POV. SAQUINHO,,,350
4,5146,POV. SAQUINHO,,,TOBIAS BARRETO,,,400
4,5147,ENTR. S. CRISTOVAO,,,COLONIA 13,,,500
4,5322,COLONIA 13,,,POV. SAQUINHO,,,650
4,5323,COLONIA 13,,,TOBIAS BARRETO,,,800
4,5324,ARACAJU,,,POV. SAQUINHO,,,1550
4,5325,POSTO FISCAL,,,POV. SAQUINHO,,,1200
4,5326,CAJUEIRO,,,POV. SAQUINHO,,,1200
4,5327,ENTR. S. CRISTOVAO,,,POV. SAQUINHO,,,1100
4,5328,ANINGAS,,,POV. SAQUINHO,,,1100
4,5329,ITAPORANGA,,,POV. SAQUINHO,,,1050
4,5330,ENTR. SALGADO,,,POV. SAQUINHO,,,950
4,5331,CARLOS TORRES,,,POV. SAQUINHO,,,900
4,5332,SALGADO,,,POV. SAQUINHO,,,800
4,5333,AGUA FRIA,,,POV. SAQUINHO,,,700
4,5334,F. CONCEICAO,,,POV. SAQUINHO,,,600
4,5335,BOQUIM,,,POV. SAQUINHO,,,450
4,5336,PEDRINHAS,,,POV. SAQUINHO,,,400
4,5337,BARRO PRETO,,,POV. SAQUINHO,,,150
4,9999,PASSE LIVRE,,,PASSE LIVRE,,,0
4,23474,ARACAJU,,,PISTA 4,,,900
5,1413,ARACAJU,,,POSTO FISCAL,,,310
5,1415,ARACAJU,,,ENTR. S. CRISTOVAO,,,245
5,1417,ARACAJU,,,ITAPORANGA,,,340
5,1418,ARACAJU,,,ENTR. SALGADO,,,550
5,1419,ARACAJU,,,CARLOS TORRES,,,650
